Strain,Replicate,Day,Density
K2,1,1,1.45E+05
K2,2,1,1.25E+05
K2,3,1,9.50E+04
K2,1,2,1.65E+06
K2,1,3,2.60E+07
K2,1,4,1.12E+08
K2,2,4,1.02E+08
K2,3,4,8.40E+07
K2,1,5,2.30E+08
K2,1,7,1.80E+08
K2,2,7,3.00E+08
K2,3,7,2.35E+08
K2,1,15,2.50E+08
B31 MI 'IR',1,1,7.30E+04
B31 MI 'IR',2,1,8.00E+04
B31 MI 'IR',3,1,1.15E+05
B31 MI 'IR',1,2,1.55E+06
B31 MI 'IR',1,3,1.47E+07
B31 MI 'IR',1,4,1.01E+08
B31 MI 'IR',2,4,7.30E+07
B31 MI 'IR',3,4,8.60E+07
B31 MI 'IR',1,5,2.35E+08
B31 MI 'IR',1,7,2.30E+08
B31 MI 'IR',2,7,1.95E+08
B31 MI 'IR',3,7,2.70E+08
B31 MI 'IR',1,15,2.60E+08
B31 Bb001,1,1,2.70E+05
B31 Bb001,2,1,2.60E+05
B31 Bb001,3,1,3.00E+05
B31 Bb001,1,2,5.25E+06
B31 Bb001,1,3,1.38E+08
B31 Bb001,1,4,2.24E+08
B31 Bb001,2,4,2.12E+08
B31 Bb001,3,4,2.54E+08
B31 Bb001,1,5,3.25E+08
B31 Bb001,1,7,3.65E+08
B31 Bb001,2,7,3.05E+08
B31 Bb001,3,7,3.15E+08
B31 Bb001,1,15,2.25E+08
N40,1,1,1.25E+05
N40,2,1,1.50E+05
N40,3,1,8.00E+04
N40,1,2,1.30E+06
N40,1,3,1.40E+07
N40,1,4,6.50E+07
N40,2,4,3.20E+07
N40,3,4,4.00E+07
N40,1,5,1.08E+08
N40,1,7,1.40E+08
N40,2,7,1.50E+08
N40,3,7,1.55E+08
N40,1,15,1.20E+08
N40 Dbbe02,1,1,1.00E+05
N40 Dbbe02,2,1,8.50E+04
N40 Dbbe02,3,1,1.10E+05
N40 Dbbe02,1,2,1.00E+06
N40 Dbbe02,1,3,1.50E+07
N40 Dbbe02,1,4,6.50E+07
N40 Dbbe02,2,4,6.80E+07
N40 Dbbe02,3,4,7.20E+07
N40 Dbbe02,1,5,1.98E+08
N40 Dbbe02,1,7,2.10E+08
N40 Dbbe02,2,7,2.00E+08
N40 Dbbe02,3,7,2.75E+08
N40 Dbbe02,1,15,2.25E+08
297,1,1,1.20E+05
297,2,1,9.50E+04
297,3,1,1.20E+05
297,1,2,1.55E+06
297,1,3,1.75E+07
297,1,4,7.00E+07
297,2,4,5.00E+07
297,3,4,5.00E+07
297,1,5,8.00E+07
297,1,7,1.30E+08
297,2,7,1.45E+08
297,3,7,1.15E+08
297,1,15,1.25E+08